料理名,料理名[読み],エネルギー[100キロカロリー毎],たんぱく質[100キロカロリー毎],脂質[100キロカロリー毎],炭水化物[100キロカロリー毎],g合計
にんじんのカレーきんぴら,にんじんのかれーきんぴら,113.0,1.0,8.7,8.3,50.5
大根きんぴら,だいこんきんぴら,77.1,1.1,4.5,8.6,92.0
野菜きんぴら,やさいきんぴら,104.2,2.1,4.4,14.0,96.0
大根の煮物,だいこんのにもの,20.0,0.7,0.1,4.5,264.5
かぼちゃの煮物,かぼちゃのにもの,66.0,1.3,0.2,14.2,188.0
切干大根の煮物,きりぼしだいこんのにもの,106.9,2.2,5.3,12.1,108.5
若竹煮,わかたけに,30.0,2.1,0.2,6.3,166.5
小松菜と桜えびの炒め煮,こまつなとさくらえびのいために,57.6,3.9,2.6,4.4,64.2
炊き合わせ,たきあわせ,52.6,2.1,0.3,10.1,175.0
なすのおろし煮,なすのおろしに,42.9,0.8,2.2,4.9,140.0
ごろごろ野菜のポトフ＿カレー風味,ごろごろやさいのぽとふ＿かれーふうみ,124.5,7.2,7.5,6.9,178.4
こんにゃく土佐煮,こんにゃくとさに,16.4,1.0,0.1,2.9,195.0
ひじき煮,ひじきに,90.9,4.7,4.7,9.5,99.0
千切りキャベツ（ドレッシングなし）,ちぎりきゃべつ（どれっしんぐなし）,23.3,1.3,0.3,5.3,30.0
ミニトマト（1個）,みにとまと（1こ）,30.0,1.0,0.0,7.0,10.0
ブロッコリー（小房1個）,ぶろっこりー（こぶさ1こ）,30.0,4.0,1.0,5.0,10.0
人参のグラッセ（1個）,にんじんのぐらっせ（1こ）,90.4,0.6,4.8,12.0,16.6
里芋の含め煮,さといものふくめに,43.0,0.9,0.0,9.4,241.8
さつま芋の天ぷら（輪切り1枚）,さつまいものてんぷら（わぎり1まい）,309.0,2.7,20.7,26.5,41.1
さつまいものデリ風サラダ,さつまいものでりふうさらだ,177.0,2.5,7.0,26.3,82.5
さつまいもの白和え,さつまいものしらあえ,138.9,5.0,4.3,20.5,78.5
