料理名,料理名[読み],エネルギー[100キロカロリー毎],たんぱく質[100キロカロリー毎],脂質[100キロカロリー毎],炭水化物[100キロカロリー毎],g合計
＜貝類＞　あさり　生,＜かいるい＞ あさり なま,27.0,6.0,0.3,0.4,0.0
＜貝類＞　あさり　つくだ煮,＜かいるい＞ あさり つくだに,218.0,20.8,2.4,30.1,0.0
＜貝類＞　あさり　缶詰　水煮,＜かいるい＞ あさり かんづめ みずに,102.0,20.3,2.2,1.9,0.0
＜貝類＞　あさり　缶詰　味付け,＜かいるい＞ あさり かんづめ あじつけ,124.0,16.6,1.9,11.5,0.0
＜貝類＞　あわび　くろあわび　生,＜かいるい＞ あわび くろあわび なま,76.0,14.3,0.8,3.6,0.0
＜貝類＞　あわび　まだかあわび　生,＜かいるい＞ あわび まだかあわび なま,74.0,14.6,0.4,3.3,0.0
＜貝類＞　あわび　めがいあわび　生,＜かいるい＞ あわび めがいあわび なま,74.0,12.2,0.3,6.8,0.0
＜貝類＞　あわび　干し,＜かいるい＞ あわび ほし,257.0,38.0,1.6,23.8,0.0
＜貝類＞　あわび　塩辛,＜かいるい＞ あわび しおから,93.0,14.8,3.9,1.4,0.0
＜貝類＞　あわび　水煮缶詰,＜かいるい＞ あわび みずにかんづめ,85.0,19.4,0.4,1.0,0.0
＜貝類＞　いがい　生,＜かいるい＞ いがい なま,63.0,10.3,1.6,3.2,0.0
＜貝類＞　いたやがい　養殖　生,＜かいるい＞ いたやがい ようしょく なま,55.0,10.8,0.8,1.5,0.0
＜貝類＞　エスカルゴ　水煮缶詰,＜かいるい＞ えすかるご みずにかんづめ,75.0,16.5,1.0,0.8,0.0
＜貝類＞　かき　養殖　生,＜かいるい＞ かき ようしょく なま,58.0,6.9,2.2,4.9,0.0
＜貝類＞　かき　養殖　水煮,＜かいるい＞ かき ようしょく みずに,90.0,9.9,3.6,7.1,0.0
＜貝類＞　かき　養殖　フライ,＜かいるい＞ かき ようしょく ふらい,256.0,7.6,11.1,32.9,0.0
＜貝類＞　かき　くん製油漬缶詰,＜かいるい＞ かき くんせいあぶらづけかんづめ,294.0,12.5,22.6,11.2,0.0
＜貝類＞　さざえ　生,＜かいるい＞ さざえ なま,83.0,19.4,0.4,0.8,0.0
＜貝類＞　さざえ　焼き,＜かいるい＞ さざえ やき,91.0,21.3,0.4,0.9,0.0
＜貝類＞　さるぼう　味付け缶詰,＜かいるい＞ さるぼう あじつけかんづめ,131.0,15.9,2.2,12.9,0.0
＜貝類＞　しじみ　生,＜かいるい＞ しじみ なま,54.0,7.5,1.4,4.5,0.0
＜貝類＞　しじみ　水煮,＜かいるい＞ しじみ みずに,95.0,15.4,2.7,5.5,0.0
＜貝類＞　たいらがい　貝柱　生,＜かいるい＞ たいらがい かいばしら なま,94.0,21.8,0.2,1.5,0.0
＜貝類＞　たにし　生,＜かいるい＞ たにし なま,73.0,13.0,1.1,3.6,0.0
＜貝類＞　つぶ　生,＜かいるい＞ つぶ なま,82.0,17.8,0.2,2.3,0.0
＜貝類＞　とこぶし　生,＜かいるい＞ とこぶし なま,78.0,16.0,0.4,3.0,0.0
＜貝類＞　とりがい　斧足　生,＜かいるい＞ とりがい おのあし なま,81.0,12.9,0.3,6.9,0.0
＜貝類＞　ばい　生,＜かいるい＞ ばい なま,81.0,16.3,0.6,3.1,0.0
＜貝類＞　ばかがい　生,＜かいるい＞ ばかがい なま,56.0,10.9,0.5,2.4,0.0
＜貝類＞　（はまぐり類）　はまぐり　生,＜かいるい＞ （はまぐりるい） はまぐり なま,35.0,6.1,0.6,1.8,0.0
＜貝類＞　（はまぐり類）　はまぐり　水煮,＜かいるい＞ （はまぐりるい） はまぐり みずに,79.0,14.9,1.5,2.9,0.0
＜貝類＞　（はまぐり類）　はまぐり　焼き,＜かいるい＞ （はまぐりるい） はまぐり やき,70.0,13.3,1.0,2.8,0.0
＜貝類＞　（はまぐり類）　はまぐり　つくだ煮,＜かいるい＞ （はまぐりるい） はまぐり つくだに,211.0,27.0,2.8,21.4,0.0
＜貝類＞　（はまぐり類）　ちょうせんはまぐり　生,＜かいるい＞ （はまぐりるい） ちょうせんはまぐり なま,41.0,6.5,1.0,2.7,0.0
＜貝類＞　ほたてがい　生,＜かいるい＞ ほたてがい なま,66.0,13.5,0.9,1.5,0.0
＜貝類＞　ほたてがい　水煮,＜かいるい＞ ほたてがい みずに,89.0,17.6,1.9,1.9,0.0
＜貝類＞　ほたてがい　貝柱　生,＜かいるい＞ ほたてがい かいばしら なま,82.0,16.9,0.3,3.5,0.0
＜貝類＞　ほたてがい　貝柱　焼き,＜かいるい＞ ほたてがい かいばしら やき,123.0,23.8,0.3,4.6,0.0
＜貝類＞　ほたてがい　貝柱　煮干し,＜かいるい＞ ほたてがい かいばしら にぼし,301.0,65.7,1.4,7.6,0.0
＜貝類＞　ほたてがい　貝柱　水煮缶詰,＜かいるい＞ ほたてがい かいばしら みずにかんづめ,87.0,19.5,0.6,1.5,0.0
＜貝類＞　ほっきがい　生,＜かいるい＞ ほっきがい なま,66.0,11.1,1.1,3.8,0.0
＜貝類＞　みるがい　水管　生,＜かいるい＞ みるがい すいかん なま,77.0,18.3,0.4,0.3,0.0
＜えび・かに類＞　（えび類）　あまえび　生,＜えび・かにるい＞ （えびるい） あまえび なま,85.0,19.8,1.5,0.1,0.0
＜えび・かに類＞　（えび類）　いせえび　生,＜えび・かにるい＞ （えびるい） いせえび なま,86.0,20.9,0.4,0.0,0.0
＜えび・かに類＞　（えび類）　くるまえび　養殖　生,＜えび・かにるい＞ （えびるい） くるまえび ようしょく なま,90.0,21.6,0.6,0.0,0.0
＜えび・かに類＞　（えび類）　くるまえび　養殖　ゆで,＜えび・かにるい＞ （えびるい） くるまえび ようしょく ゆで,116.0,28.2,0.5,0.0,0.0
＜えび・かに類＞　（えび類）　くるまえび　養殖　焼き,＜えび・かにるい＞ （えびるい） くるまえび ようしょく やき,97.0,23.5,0.4,0.0,0.0
＜えび・かに類＞　（えび類）　さくらえび　生,＜えび・かにるい＞ （えびるい） さくらえび なま,78.0,16.6,2.0,0.1,0.0
＜えび・かに類＞　（えび類）　さくらえび　ゆで,＜えび・かにるい＞ （えびるい） さくらえび ゆで,82.0,18.2,1.5,0.0,0.0
＜えび・かに類＞　（えび類）　さくらえび　素干し,＜えび・かにるい＞ （えびるい） さくらえび すぼし,286.0,64.9,4.0,0.1,0.0
＜えび・かに類＞　（えび類）　さくらえび　煮干し,＜えび・かにるい＞ （えびるい） さくらえび にぼし,252.0,59.1,2.5,0.1,0.0
＜えび・かに類＞　（えび類）　大正えび　生,＜えび・かにるい＞ （えびるい） たいしょうえび なま,89.0,21.7,0.3,0.1,0.0
＜えび・かに類＞　（えび類）　しばえび　生,＜えび・かにるい＞ （えびるい） しばえび なま,78.0,18.7,0.4,0.1,0.0
＜えび・かに類＞　（えび類）　バナメイえび　養殖　生,＜えび・かにるい＞ （えびるい） ばなめいえび ようしょく なま,82.0,19.6,0.6,0.7,0.0
＜えび・かに類＞　（えび類）　バナメイえび　養殖　天ぷら,＜えび・かにるい＞ （えびるい） ばなめいえび ようしょく てんぷら,194.0,20.0,10.3,6.5,0.0
＜えび・かに類＞　（えび類）　ブラックタイガー　養殖　生,＜えび・かにるい＞ （えびるい） ぶらっくたいがー ようしょく なま,77.0,18.4,0.3,0.3,0.0
＜えび・かに類＞　（えび類）　加工品　干しえび,＜えび・かにるい＞ （えびるい） かこうひん ほしえび,213.0,48.6,2.8,0.3,0.0
＜えび・かに類＞　（えび類）　加工品　つくだ煮,＜えび・かにるい＞ （えびるい） かこうひん つくだに,239.0,25.9,2.2,30.1,0.0
＜えび・かに類＞　（かに類）　がざみ　生,＜えび・かにるい＞ （かにるい） がざみ なま,61.0,14.4,0.3,0.3,0.0
＜えび・かに類＞　（かに類）　毛がに　生,＜えび・かにるい＞ （かにるい） けがに なま,67.0,15.8,0.5,0.2,0.0
＜えび・かに類＞　（かに類）　毛がに　ゆで,＜えび・かにるい＞ （かにるい） けがに ゆで,78.0,18.4,0.5,0.2,0.0
＜えび・かに類＞　（かに類）　ずわいがに　生,＜えび・かにるい＞ （かにるい） ずわいがに なま,59.0,13.9,0.4,0.1,0.0
＜えび・かに類＞　（かに類）　ずわいがに　ゆで,＜えび・かにるい＞ （かにるい） ずわいがに ゆで,65.0,15.0,0.6,0.1,0.0
＜えび・かに類＞　（かに類）　ずわいがに　水煮缶詰,＜えび・かにるい＞ （かにるい） ずわいがに みずにかんづめ,69.0,16.3,0.4,0.2,0.0
＜えび・かに類＞　（かに類）　たらばがに　生,＜えび・かにるい＞ （かにるい） たらばがに なま,56.0,13.0,0.9,0.2,0.0
＜えび・かに類＞　（かに類）　たらばがに　ゆで,＜えび・かにるい＞ （かにるい） たらばがに ゆで,77.0,17.5,1.5,0.3,0.0
＜えび・かに類＞　（かに類）　たらばがに　水煮缶詰,＜えび・かにるい＞ （かにるい） たらばがに みずにかんづめ,85.0,20.6,0.3,0.1,0.0
＜えび・かに類＞　（かに類）　加工品　がん漬,＜えび・かにるい＞ （かにるい） かこうひん がんづけ,58.0,8.4,0.4,5.4,0.0
＜いか・たこ類＞　（いか類）　あかいか　生,＜いか・たこるい＞ （いかるい） あかいか なま,81.0,17.9,1.5,0.0,0.0
＜いか・たこ類＞　（いか類）　けんさきいか　生,＜いか・たこるい＞ （いかるい） けんさきいか なま,77.0,17.5,1.0,0.1,0.0
＜いか・たこ類＞　（いか類）　こういか　生,＜いか・たこるい＞ （いかるい） こういか なま,64.0,14.9,1.3,0.1,0.0
＜いか・たこ類＞　（いか類）　するめいか　生,＜いか・たこるい＞ （いかるい） するめいか なま,76.0,17.9,0.8,0.1,0.0
＜いか・たこ類＞　（いか類）　するめいか　水煮,＜いか・たこるい＞ （いかるい） するめいか みずに,98.0,21.9,0.9,0.1,0.0
＜いか・たこ類＞　（いか類）　するめいか　焼き,＜いか・たこるい＞ （いかるい） するめいか やき,108.0,23.6,1.0,0.1,0.0
＜いか・たこ類＞　（いか類）　するめいか　胴　皮つき　生,＜いか・たこるい＞ （いかるい） するめいか どう かわつき なま,78.0,18.6,0.7,0.1,0.0
＜いか・たこ類＞　（いか類）　するめいか　胴　皮なし　生,＜いか・たこるい＞ （いかるい） するめいか どう かわなし なま,80.0,18.6,0.6,0.1,0.0
＜いか・たこ類＞　（いか類）　するめいか　胴　皮なし　天ぷら,＜いか・たこるい＞ （いかるい） するめいか どう かわなし てんぷら,175.0,16.7,10.8,6.3,0.0
＜いか・たこ類＞　（いか類）　するめいか　耳・足　生,＜いか・たこるい＞ （いかるい） するめいか みみ・あし なま,75.0,16.9,0.9,0.0,0.0
＜いか・たこ類＞　（いか類）　ほたるいか　生,＜いか・たこるい＞ （いかるい） ほたるいか なま,74.0,11.8,3.5,0.2,0.0
＜いか・たこ類＞　（いか類）　ほたるいか　ゆで,＜いか・たこるい＞ （いかるい） ほたるいか ゆで,91.0,17.7,2.9,0.4,0.0
＜いか・たこ類＞　（いか類）　ほたるいか　くん製,＜いか・たこるい＞ （いかるい） ほたるいか くんせい,305.0,43.1,7.5,21.3,0.0
＜いか・たこ類＞　（いか類）　ほたるいか　つくだ煮,＜いか・たこるい＞ （いかるい） ほたるいか つくだに,245.0,27.0,6.7,22.9,0.0
＜いか・たこ類＞　（いか類）　やりいか　生,＜いか・たこるい＞ （いかるい） やりいか なま,79.0,17.6,1.0,0.4,0.0
＜いか・たこ類＞　（いか類）　加工品　するめ,＜いか・たこるい＞ （いかるい） かこうひん するめ,304.0,69.2,4.3,0.4,0.0
＜いか・たこ類＞　（いか類）　加工品　さきいか,＜いか・たこるい＞ （いかるい） かこうひん さきいか,268.0,45.5,3.1,17.3,0.0
＜いか・たこ類＞　（いか類）　加工品　くん製,＜いか・たこるい＞ （いかるい） かこうひん くんせい,202.0,35.2,1.5,12.8,0.0
＜いか・たこ類＞　（いか類）　加工品　切りいかあめ煮,＜いか・たこるい＞ （いかるい） かこうひん きりいかあめに,310.0,22.7,4.7,46.1,0.0
＜いか・たこ類＞　（いか類）　加工品　いかあられ,＜いか・たこるい＞ （いかるい） かこうひん いかあられ,289.0,20.0,1.8,49.1,0.0
＜いか・たこ類＞　（いか類）　加工品　塩辛,＜いか・たこるい＞ （いかるい） かこうひん しおから,114.0,15.2,3.4,6.5,0.0
＜いか・たこ類＞　（いか類）　加工品　味付け缶詰,＜いか・たこるい＞ （いかるい） かこうひん あじつけかんづめ,127.0,21.4,1.8,7.7,0.0
＜いか・たこ類＞　（たこ類）　いいだこ　生,＜いか・たこるい＞ （たこるい） いいだこ なま,64.0,14.6,0.8,0.1,0.0
＜いか・たこ類＞　（たこ類）　まだこ　生,＜いか・たこるい＞ （たこるい） まだこ なま,70.0,16.4,0.7,0.1,0.0
＜いか・たこ類＞　（たこ類）　まだこ　ゆで,＜いか・たこるい＞ （たこるい） まだこ ゆで,91.0,21.7,0.7,0.1,0.0
＜いか・たこ類＞　（たこ類）　みずだこ　生,＜いか・たこるい＞ （たこるい） みずだこ なま,61.0,13.4,0.9,0.1,0.0
＜その他＞　あみ　つくだ煮,＜そのた＞ あみ つくだに,230.0,19.1,1.8,35.1,0.0
＜その他＞　あみ　塩辛,＜そのた＞ あみ しおから,62.0,12.9,1.1,0.8,0.0
＜その他＞　うに　生うに,＜そのた＞ うに なまうに,109.0,16.0,4.8,3.3,0.0
＜その他＞　うに　粒うに,＜そのた＞ うに つぶうに,172.0,17.2,5.8,15.6,0.0
＜その他＞　うに　練りうに,＜そのた＞ うに ねりうに,166.0,13.5,2.9,22.4,0.0
＜その他＞　おきあみ　生,＜そのた＞ おきあみ なま,84.0,15.0,3.2,0.2,0.0
＜その他＞　おきあみ　ゆで,＜そのた＞ おきあみ ゆで,78.0,13.8,3.0,0.0,0.0
＜その他＞　くらげ　塩蔵　塩抜き,＜そのた＞ くらげ えんぞう しおぬき,21.0,5.2,0.1,0.0,0.0
＜その他＞　しゃこ　ゆで,＜そのた＞ しゃこ ゆで,89.0,19.2,1.7,0.2,0.0
＜その他＞　なまこ　生,＜そのた＞ なまこ なま,22.0,4.6,0.3,0.5,0.0
＜その他＞　なまこ　このわた,＜そのた＞ なまこ このわた,54.0,11.4,1.8,0.5,0.0
＜その他＞　ほや　生,＜そのた＞ ほや なま,27.0,5.0,0.8,0.8,0.0
＜その他＞　ほや　塩辛,＜そのた＞ ほや しおから,69.0,11.6,1.1,3.8,0.0
＜水産練り製品＞　かに風味かまぼこ,＜すいさんねりせいひん＞ かにふうみかまぼこ,89.0,12.1,0.5,9.2,0.0
＜水産練り製品＞　黒はんぺん,＜すいさんねりせいひん＞ くろはんぺん,119.0,11.2,2.9,13.7,0.0
＜水産練り製品＞　昆布巻きかまぼこ,＜すいさんねりせいひん＞ こぶまきかまぼこ,83.0,8.9,0.5,11.0,0.0
＜水産練り製品＞　す巻きかまぼこ,＜すいさんねりせいひん＞ すまきかまぼこ,89.0,12.0,0.8,8.7,0.0
＜水産練り製品＞　蒸しかまぼこ,＜すいさんねりせいひん＞ むしかまぼこ,93.0,12.0,0.9,9.7,0.0
＜水産練り製品＞　焼き抜きかまぼこ,＜すいさんねりせいひん＞ やきぬきかまぼこ,102.0,16.2,1.0,7.4,0.0
＜水産練り製品＞　焼き竹輪,＜すいさんねりせいひん＞ やきちくわ,119.0,12.2,2.0,13.5,0.0
＜水産練り製品＞　だて巻,＜すいさんねりせいひん＞ だてまき,190.0,14.6,7.5,17.6,0.0
＜水産練り製品＞　つみれ,＜すいさんねりせいひん＞ つみれ,104.0,12.0,4.3,6.5,0.0
＜水産練り製品＞　なると,＜すいさんねりせいひん＞ なると,80.0,7.6,0.4,11.6,0.0
＜水産練り製品＞　はんぺん,＜すいさんねりせいひん＞ はんぺん,93.0,9.9,1.0,11.4,0.0
＜水産練り製品＞　さつま揚げ,＜すいさんねりせいひん＞ さつまあげ,135.0,12.5,3.7,13.9,0.0
＜水産練り製品＞　魚肉ハム,＜すいさんねりせいひん＞ ぎょにくはむ,155.0,13.4,6.7,11.1,0.0
＜水産練り製品＞　魚肉ソーセージ,＜すいさんねりせいひん＞ ぎょにくそーせーじ,158.0,11.5,7.2,12.6,0.0
＜畜肉類＞　いのしし　肉　脂身つき　生,＜ちくにくるい＞ いのしし にく あぶらみつき なま,249.0,18.8,19.8,0.5,0.0
＜畜肉類＞　いのぶた　肉　脂身つき　生,＜ちくにくるい＞ いのぶた にく あぶらみつき なま,275.0,18.1,24.1,0.3,0.0
＜畜肉類＞　うさぎ　肉　赤肉　生,＜ちくにくるい＞ うさぎ にく あかにく なま,131.0,20.5,6.3,0.0,0.0
＜畜肉類＞　うし　［和牛肉］　かた　脂身つき　生,＜ちくにくるい＞ うし ［わぎゅうにく］ かた あぶらみつき なま,258.0,17.7,22.3,0.3,0.0
＜畜肉類＞　うし　［和牛肉］　かた　皮下脂肪なし　生,＜ちくにくるい＞ うし ［わぎゅうにく］ かた ひかしぼうなし なま,239.0,18.3,19.8,0.3,0.0
＜畜肉類＞　うし　［和牛肉］　かた　赤肉　生,＜ちくにくるい＞ うし ［わぎゅうにく］ かた あかにく なま,183.0,20.2,12.2,0.3,0.0
＜畜肉類＞　うし　［和牛肉］　かた　脂身　生,＜ちくにくるい＞ うし ［わぎゅうにく］ かた あぶらみ なま,692.0,4.0,78.0,0.0,0.0
＜畜肉類＞　うし　［和牛肉］　かたロース　脂身つき　生,＜ちくにくるい＞ うし ［わぎゅうにく］ かたろーす あぶらみつき なま,380.0,13.8,37.4,0.2,0.0
＜畜肉類＞　うし　［和牛肉］　かたロース　皮下脂肪なし　生,＜ちくにくるい＞ うし ［わぎゅうにく］ かたろーす ひかしぼうなし なま,373.0,14.0,36.5,0.2,0.0
＜畜肉類＞　うし　［和牛肉］　かたロース　赤肉　生,＜ちくにくるい＞ うし ［わぎゅうにく］ かたろーす あかにく なま,293.0,16.5,26.1,0.2,0.0
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　生,＜ちくにくるい＞ うし ［わぎゅうにく］ りぶろーす あぶらみつき なま,514.0,9.7,56.5,0.1,0.0
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　ゆで,＜ちくにくるい＞ うし ［わぎゅうにく］ りぶろーす あぶらみつき ゆで,539.0,12.6,58.2,0.1,0.0
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　焼き,＜ちくにくるい＞ うし ［わぎゅうにく］ りぶろーす あぶらみつき やき,541.0,14.6,56.8,0.2,0.0
＜畜肉類＞　うし　［和牛肉］　リブロース　皮下脂肪なし　生,＜ちくにくるい＞ うし ［わぎゅうにく］ りぶろーす ひかしぼうなし なま,502.0,10.3,54.4,0.1,0.0
＜畜肉類＞　うし　［和牛肉］　リブロース　赤肉　生,＜ちくにくるい＞ うし ［わぎゅうにく］ りぶろーす あかにく なま,395.0,14.0,40.0,0.2,0.0
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身　生,＜ちくにくるい＞ うし ［わぎゅうにく］ りぶろーす あぶらみ なま,674.0,4.2,78.0,0.0,0.0
＜畜肉類＞　うし　［和牛肉］　サーロイン　脂身つき　生,＜ちくにくるい＞ うし ［わぎゅうにく］ さーろいん あぶらみつき なま,460.0,11.7,47.5,0.3,0.0
＜畜肉類＞　うし　［和牛肉］　サーロイン　皮下脂肪なし　生,＜ちくにくるい＞ うし ［わぎゅうにく］ さーろいん ひかしぼうなし なま,422.0,12.9,42.5,0.3,0.0
＜畜肉類＞　うし　［和牛肉］　サーロイン　赤肉　生,＜ちくにくるい＞ うし ［わぎゅうにく］ さーろいん あかにく なま,294.0,17.1,25.8,0.4,0.0
＜畜肉類＞　うし　［和牛肉］　ばら　脂身つき　生,＜ちくにくるい＞ うし ［わぎゅうにく］ ばら あぶらみつき なま,472.0,11.0,50.0,0.1,0.0
＜畜肉類＞　うし　［和牛肉］　もも　脂身つき　生,＜ちくにくるい＞ うし ［わぎゅうにく］ もも あぶらみつき なま,235.0,19.2,18.7,0.5,0.0
＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　生,＜ちくにくるい＞ うし ［わぎゅうにく］ もも ひかしぼうなし なま,212.0,20.2,15.5,0.6,0.0
＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　ゆで,＜ちくにくるい＞ うし ［わぎゅうにく］ もも ひかしぼうなし ゆで,302.0,25.7,23.3,0.2,0.0
＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　焼き,＜ちくにくるい＞ うし ［わぎゅうにく］ もも ひかしぼうなし やき,300.0,27.7,22.7,0.5,0.0
＜畜肉類＞　うし　［和牛肉］　もも　赤肉　生,＜ちくにくるい＞ うし ［わぎゅうにく］ もも あかにく なま,176.0,21.3,10.7,0.6,0.0
＜畜肉類＞　うし　［和牛肉］　もも　脂身　生,＜ちくにくるい＞ うし ［わぎゅうにく］ もも あぶらみ なま,664.0,4.4,75.4,0.0,0.0
＜畜肉類＞　うし　［和牛肉］　そともも　脂身つき　生,＜ちくにくるい＞ うし ［わぎゅうにく］ そともも あぶらみつき なま,244.0,17.8,20.0,0.5,0.0
＜畜肉類＞　うし　［和牛肉］　そともも　皮下脂肪なし　生,＜ちくにくるい＞ うし ［わぎゅうにく］ そともも ひかしぼうなし なま,219.0,18.7,16.6,0.5,0.0
＜畜肉類＞　うし　［和牛肉］　そともも　赤肉　生,＜ちくにくるい＞ うし ［わぎゅうにく］ そともも あかにく なま,159.0,20.7,8.7,0.6,0.0
＜畜肉類＞　うし　［和牛肉］　ランプ　脂身つき　生,＜ちくにくるい＞ うし ［わぎゅうにく］ らんぷ あぶらみつき なま,319.0,15.1,29.9,0.4,0.0
＜畜肉類＞　うし　［和牛肉］　ランプ　皮下脂肪なし　生,＜ちくにくるい＞ うし ［わぎゅうにく］ らんぷ ひかしぼうなし なま,293.0,16.0,26.4,0.4,0.0
＜畜肉類＞　うし　［和牛肉］　ランプ　赤肉　生,＜ちくにくるい＞ うし ［わぎゅうにく］ らんぷ あかにく なま,196.0,19.2,13.6,0.5,0.0
＜畜肉類＞　うし　［和牛肉］　ヒレ　赤肉　生,＜ちくにくるい＞ うし ［わぎゅうにく］ ひれ あかにく なま,207.0,19.1,15.0,0.3,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ かた あぶらみつき なま,231.0,17.1,19.8,0.3,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　ゆで,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ かた あぶらみつき ゆで,298.0,20.8,23.8,0.1,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　焼き,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ かた あぶらみつき やき,322.0,23.0,25.5,0.2,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　皮下脂肪なし　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ かた ひかしぼうなし なま,193.0,17.9,14.9,0.4,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　赤肉　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ かた あかにく なま,138.0,20.4,6.7,0.2,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　赤肉　ゆで,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ かた あかにく ゆで,174.0,27.9,7.1,1.0,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　赤肉　焼き,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ かた あかにく やき,175.0,26.9,7.7,0.8,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ かた あぶらみ なま,650.0,4.5,73.3,0.0,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　かたロース　脂身つき　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ かたろーす あぶらみつき なま,295.0,16.2,26.4,0.2,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　かたロース　皮下脂肪なし　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ かたろーす ひかしぼうなし なま,285.0,16.5,25.2,0.2,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　かたロース　赤肉　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ かたろーす あかにく なま,196.0,19.1,13.9,0.2,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身つき　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ りぶろーす あぶらみつき なま,380.0,14.1,37.1,0.2,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身つき　ゆで,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ りぶろーす あぶらみつき ゆで,428.0,17.2,43.0,0.3,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身つき　焼き,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ りぶろーす あぶらみつき やき,457.0,20.4,45.0,0.3,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　皮下脂肪なし　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ りぶろーす ひかしぼうなし なま,351.0,15.0,33.4,0.2,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　赤肉　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ りぶろーす あかにく なま,230.0,18.8,17.8,0.3,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ りぶろーす あぶらみ なま,703.0,3.7,80.5,0.0,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　サーロイン　脂身つき　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ さーろいん あぶらみつき なま,313.0,16.5,27.9,0.4,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　サーロイン　皮下脂肪なし　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ さーろいん ひかしぼうなし なま,253.0,18.4,20.2,0.5,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　サーロイン　赤肉　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ さーろいん あかにく なま,167.0,21.1,9.1,0.6,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　ばら　脂身つき　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ ばら あぶらみつき なま,381.0,12.8,39.4,0.3,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　ばら　脂身つき　焼き,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ ばら あぶらみつき やき,451.0,15.9,44.2,0.3,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　脂身つき　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ もも あぶらみつき なま,196.0,19.5,13.3,0.4,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　皮下脂肪なし　生,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ もも ひかしぼうなし なま,169.0,20.5,9.9,0.4,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　皮下脂肪なし　ゆで,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ もも ひかしぼうなし ゆで,235.0,28.4,13.8,0.6,0.0
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　皮下脂肪なし　焼き,＜ちくにくるい＞ うし ［にゅうようひいくぎゅうにく］ もも ひかしぼうなし やき,227.0,28.0,13.2,0.6,0.0
